year,state_county,yrly_new_props,cur_props,.dec_2000_total_occupied,.dec_2000_total_renter_occupied,.dec_2000_total_vacant,.dec_2000_total_pop_occupied,.dec_2000_total_pop_renter_occupied,.dec_2000_total_pop,.dec_2000_avg_household_size,.dec_2000_median_age,.dec_2000_median_income,.acs_2010_total_pop,.acs_2010_total_pop_occupied,.acs_2010_total_pop_renter_occupied,.acs_2010_total_vacant,.acs_2010_median_income,.acs_2010_median_age,.acs_2020_total_pop,.acs_2020_total_pop_occupied,.acs_2020_total_pop_renter_occupied,.acs_2020_total_vacant,.acs_2020_median_income,.acs_2020_median_age
1975,12105,0,0,187233,126330,39143,471378,1213,483924,2.52,38.6,41442,590116,403365,100254,53858,22914,42,705735,463281,172527,59717,26385,41.1
1975,12109,0,0,49614,25610,8394,120942,228,123135,2.44,40.6,59153,180624,139882,19505,16349,30644,44.5,255410,205428,30033,20239,37043,45.2
1975,12113,0,0,43793,22014,5326,115191,180,117743,2.63,36.8,46929,147838,111311,16329,8199,26132,42.6,179587,132401,26086,7326,31833,42.3
1975,12115,0,0,149937,66383,32530,319484,664,325957,2.13,50.5,50111,376200,282534,54834,56904,26907,46.4,427766,316392,72857,55682,32535,47.7
1975,12117,0,0,139572,98517,7507,361590,2649,365196,2.59,36.2,56895,417330,301028,70933,25644,29385,42.2,466695,308755,108867,13979,34447,42.5
1975,12119,0,0,20779,7155,4416,47078,45,53345,2.27,49.2,36999,85891,66757,5758,9684,21876,50.3,129938,105150,11277,13579,28416,53.8
1975,12127,0,0,184723,101229,27215,428606,1290,443343,2.32,42.4,41767,496053,365450,74730,51203,23276,44.2,546107,375916,119089,42052,27849,44.4
1975,13031,0,0,20743,20268,1999,52393,224,55983,2.53,26.1,42199,67298,35515,16265,3706,16372,36,77719,38031,20166,3529,22941,36.7
1975,13033,0,0,7934,5028,908,21963,4,22243,2.77,33,31660,23083,16651,4444,2029,18455,42.7,22567,15890,5320,2155,26418,42.1
1975,13051,0,0,89865,84433,9818,223998,1222,232048,2.49,34.4,46125,256428,145000,79169,16182,24898,40.2,289649,154105,83752,16366,30121,39.7
1975,13057,0,0,49495,21965,2442,140920,172,141903,2.85,34,66419,206283,165577,23238,5843,32334,41,253780,192439,43173,4286,37888,43.2
1975,13063,1,1,82243,87095,4218,233259,2149,236517,2.84,30.2,46782,260156,152999,61909,17653,25070,39.3,287560,141461,103870,9166,26336,40
1975,13067,0,0,227487,172953,10035,600457,6217,607751,2.64,33.2,67649,677402,477101,108433,26457,32900,40.7,756653,502129,168858,19178,39095,41.7
1975,13073,0,0,31120,14975,2201,88597,426,89288,2.85,35.4,61232,117858,95018,11883,4592,32149,42.9,154257,123010,22080,10420,36817,41.7
1975,13089,0,0,249339,263704,11892,652194,14260,665865,2.62,32.3,54018,685371,391850,165140,37159,28529,39.4,755287,417694,234545,30631,34202,40.6
1975,13097,0,0,32822,20851,2003,91325,344,92174,2.78,33.8,54082,127800,91662,18750,5529,30126,40.7,145063,96699,34896,3250,32492,42.7
1975,13113,0,0,31524,10990,1202,90685,632,91263,2.88,38.2,78853,105344,89089,8539,2522,36626,45.6,113544,92767,13725,2208,42960,46.7
1975,13117,0,0,34565,11916,1940,97678,57,98407,2.83,34.6,74003,163885,140466,15769,5673,39094,42.1,236605,199424,25094,3646,47387,44.2
1975,13121,0,0,321242,350924,27390,784622,9924,816006,2.44,32.7,58143,886982,498501,219621,72661,31521,39.3,1051550,566946,319548,52317,39877,40
1975,13135,0,0,202317,144974,7365,582063,10938,588448,2.88,32.5,66693,778022,560471,121128,26224,30541,40.8,926414,625520,230029,13204,34466,42.4
1975,13139,0,0,47381,42300,3665,136980,527,139277,2.89,32.2,50100,175001,114562,38255,6738,25730,40.3,201434,135802,48215,8989,29241,41.9
1975,13151,0,0,41373,16016,1793,118586,281,119341,2.87,33.4,61607,193717,153990,19489,7799,32488,41.1,229994,165762,44474,4734,35041,43
1975,13153,0,0,40911,32936,3598,108372,555,110765,2.65,34,50384,134880,90118,24627,6697,28755,40.5,155317,105132,33714,5825,33905,40.4
1975,13217,0,0,21997,13685,1036,60931,106,62001,2.77,33.3,49748,96833,71254,13033,3988,25841,40.1,109835,76123,24786,2194,27226,41.9
1975,13223,0,0,28089,10005,1185,81166,30,81678,2.89,31.2,56039,134875,107860,13268,3999,31171,40.1,164440,124142,30621,3084,35406,41.8
1975,13245,0,0,73920,76437,8392,188864,1023,199775,2.55,32.3,38509,198170,105583,49987,11898,21511,39.5,202178,98216,68965,16529,23722,37.3
1975,13247,0,0,24052,17343,1030,69009,488,70111,2.87,35.4,60065,83135,56414,14863,3953,27065,42.5,90155,59661,21686,2393,31986,44.6
1975,13297,0,0,21307,13755,1193,60145,49,60687,2.82,33.9,52386,81491,62649,10063,2751,25585,42.2,93284,69936,17970,2217,31588,43.5
1975,15003,0,0,286450,356213,29538,845211,115027,876156,2.95,35.7,60118,936984,545444,253709,29985,30723,41.4,979682,566755,277984,35860,38373,40.9
1975,17031,0,0,1974181,2035740,121940,5283124,105393,5376741,2.68,33.6,53784,5172848,3201667,1325640,236952,27674,40.1,5169517,3079200,1542338,207015,35336,40.5
1975,17043,0,0,325601,171479,10020,889048,16270,904161,2.73,35.2,79314,911481,711681,113501,20351,35840,43,926005,688124,160856,16907,43245,43.7
1975,17089,1,1,133901,84644,5097,397616,1447,404119,2.97,32.2,66558,502628,390052,67610,9671,30761,41.3,531756,392723,96815,7456,35433,42.6
1975,17093,0,0,18798,7376,721,54352,47,54544,2.89,34.1,69383,105602,90703,8573,2135,39390,39.5,127583,105093,15146,980,42266,41.7
1975,17097,0,0,216297,122723,9622,623378,4353,644356,2.88,33.8,76424,697179,543141,87022,18725,34103,42.7,699682,513534,119884,15997,38923,43.8
1975,17197,0,0,167542,69526,7982,492605,927,502266,2.94,33.3,69608,667977,567737,54126,13786,33645,41.4,689704,564336,86217,12851,39027,43
1975,18003,0,0,128745,80338,10160,326269,1598,331849,2.53,34.1,52708,351332,253938,59294,15750,26935,41.1,375520,265321,72292,12381,31134,40.9
1975,18011,0,0,17081,8069,848,45278,68,46107,2.65,36.9,58879,54796,43945,6438,1394,34066,43.6,66875,54907,7048,1752,43998,43.4
1975,18019,0,0,38751,25807,2425,94894,229,96472,2.45,36.5,47412,107381,77191,18496,3993,26009,41,117410,85261,24501,6114,31273,41.9
1975,18057,0,0,65933,27215,3545,181123,911,182740,2.75,34.1,80239,261244,214694,23662,6535,39514,41.9,330455,262398,43380,6507,47374,42.9
1975,18059,0,0,20718,8764,1032,54933,31,55391,2.65,37.4,63083,68011,55162,6936,2161,31628,42.9,76614,61651,9573,1013,40082,42.8
1975,18081,0,0,42434,21756,2661,111606,263,115209,2.63,34.9,60571,135994,102526,16389,4412,30393,41.8,156148,114552,26038,3818,35437,41.3
1975,18089,0,0,181633,136089,13359,478916,1099,484564,2.64,35.9,50131,494417,351603,90764,25023,24989,42.6,485983,342146,99864,25033,30660,42.9
1975,18097,0,0,352164,311497,35019,841758,5336,860454,2.39,33.6,49387,890976,532601,205906,59642,25180,39.8,957337,542237,298654,47016,30980,39.3
1975,18141,0,0,100743,63106,6270,252145,1275,265559,2.5,34.4,49653,266522,185734,39473,13667,22822,42.1,270881,180803,56778,12670,28584,41.7
1975,19049,0,0,15584,8066,945,40291,57,40750,2.59,35.1,58293,61714,48651,7409,1762,35245,40,90418,68869,13196,2386,47228,39.7
1975,19129,0,0,5324,2522,347,13847,6,14547,2.6,38.1,49592,15157,11917,1529,493,28229,44.3,15023,11478,2045,676,36862,45
1975,19153,0,0,149112,96333,7335,365671,2797,374601,2.45,34.4,56560,419301,304621,57361,11825,30424,40.1,485418,333566,95980,12985,37225,40.2
1975,19181,0,0,14708,6194,581,38956,25,40671,2.65,36,56344,45346,35853,4117,923,30662,42.5,50867,40860,5500,1020,39858,42.2
1975,20045,0,0,38486,38812,1764,91248,1820,99962,2.37,26.6,53991,109052,57130,20144,3094,20875,34.4,121304,62987,29724,3067,27283,35.3
1975,20091,1,1,174570,98676,7042,446108,4585,451086,2.56,35.2,72987,531228,401604,69802,11889,37097,41.7,597574,439232,99728,11197,45092,41.9
1975,20173,1,1,176444,133287,14689,446591,4856,452869,2.53,33.6,51645,486123,336172,83030,17892,26327,40.9,515416,330411,117397,21318,31071,40.8
1975,20209,0,0,59700,55478,6192,156290,875,157882,2.62,32.5,40333,155462,97675,33082,9588,22156,40.2,165447,98510,48731,7839,27558,39.5
1975,21015,0,0,31258,18351,2093,85403,522,85991,2.73,33.4,61114,114723,89238,13743,3441,31605,40.5,132368,101262,19486,2547,37773,43
1975,21029,0,0,22171,9237,989,61005,22,61236,2.75,34.5,49481,72515,59099,8104,1504,26420,40.5,80921,66254,10754,1901,32295,42.9
1975,21067,0,0,108288,100064,7879,247789,3218,260512,2.29,33,53264,288045,164367,56911,11957,25151,38.8,322200,173894,83844,11887,30974,38.7
1975,21073,0,0,19907,14662,1502,45862,192,47687,2.3,37,51052,49067,30488,9970,2043,28156,42.4,50744,30910,11515,1994,32657,41.8
1975,21111,0,0,287012,215671,18823,680809,3985,693604,2.37,36.7,49161,729452,477096,157331,33530,25536,41.3,768419,473025,198383,30761,32123,40.8
1975,21117,0,0,59444,42102,4127,149598,325,151464,2.52,34.5,52953,158034,111259,26858,6856,27982,40.8,166552,115308,33755,5246,33895,40.6
1975,22051,0,0,176234,146160,11673,451109,4702,455466,2.56,35.9,45834,431019,283412,95213,24205,25020,42.2,434903,271584,123172,18178,30904,42.4
1975,22071,0,0,188251,239063,26840,467033,4425,484674,2.48,33.1,32338,295285,145745,83310,44299,20987,40.7,391249,196160,140878,37186,26607,39.6
1975,24003,0,0,178670,106345,8267,473666,3286,489656,2.65,36,69019,527020,388213,71577,13627,39434,42.7,575421,422169,88746,13208,48003,42.3
1975,24005,1,1,299877,207302,13857,736652,9401,754292,2.46,37.7,59998,799195,543651,161600,17633,33627,42.6,828193,548754,195938,22233,40461,43.1
